,speaker_id,text,path
460,p303,I'm very sad and deeply shocked.,./data/VCTK/raw/wav8/p303/p303_338.wav
461,p303,His treatment has been quite atrocious.,./data/VCTK/raw/wav8/p303/p303_270.wav
462,p303,Our idea is to make it entirely Irish.,./data/VCTK/raw/wav8/p303/p303_264.wav
463,p303,They have a very good method of working.,./data/VCTK/raw/wav8/p303/p303_258.wav
464,p303,Their vision was not impeded.,./data/VCTK/raw/wav8/p303/p303_099.wav
465,p303,What do they pay to join the club?,./data/VCTK/raw/wav8/p303/p303_072.wav
466,p303,"Who, then, is going to be captain of Europe?",./data/VCTK/raw/wav8/p303/p303_066.wav
467,p303,Don't say you have not been warned.,./data/VCTK/raw/wav8/p303/p303_062.wav
468,p303,It will be very useful for us.,./data/VCTK/raw/wav8/p303/p303_076.wav
469,p303,It was his twenty-first birthday on Monday.,./data/VCTK/raw/wav8/p303/p303_089.wav
470,p303,I believe we have a good chance.,./data/VCTK/raw/wav8/p303/p303_260.wav
471,p303,My dad was working in Ayrshire.,./data/VCTK/raw/wav8/p303/p303_274.wav
472,p303,It is the end of an era.,./data/VCTK/raw/wav8/p303/p303_248.wav
473,p303,"What if the confession is, after all, a fake?",./data/VCTK/raw/wav8/p303/p303_314.wav
474,p303,Last night the bombardment was terrible.,./data/VCTK/raw/wav8/p303/p303_300.wav
475,p303,Who is going to be penalised?,./data/VCTK/raw/wav8/p303/p303_328.wav
476,p303,"Lately, that market has come under pressure.",./data/VCTK/raw/wav8/p303/p303_116.wav
477,p303,"Next league matches, Dundee United - Kilmarnock.",./data/VCTK/raw/wav8/p303/p303_102.wav
478,p303,He went to see what he could learn.,./data/VCTK/raw/wav8/p303/p303_103.wav
479,p303,And it's more subversive.,./data/VCTK/raw/wav8/p303/p303_117.wav
480,p303,I feel sorry for the Reds.,./data/VCTK/raw/wav8/p303/p303_329.wav
481,p303,This can only help us go forward.,./data/VCTK/raw/wav8/p303/p303_301.wav
482,p303,We couldn't go very fast.,./data/VCTK/raw/wav8/p303/p303_315.wav
483,p303,We can just get on with our game.,./data/VCTK/raw/wav8/p303/p303_249.wav
484,p303,There are lots of these women in Finland.,./data/VCTK/raw/wav8/p303/p303_275.wav
485,p303,Things were not easy from the outset.,./data/VCTK/raw/wav8/p303/p303_261.wav
486,p303,"At the time of watching, however, it is totally convincing.",./data/VCTK/raw/wav8/p303/p303_088.wav
487,p303,He was obviously very genuine.,./data/VCTK/raw/wav8/p303/p303_077.wav
488,p303,That is a mark of what you are.,./data/VCTK/raw/wav8/p303/p303_063.wav
489,p303,She goes to the opening of an envelope.,./data/VCTK/raw/wav8/p303/p303_075.wav
490,p303,The supporters gave us a lot of passion.,./data/VCTK/raw/wav8/p303/p303_061.wav
491,p303,"However, you have just got to adjust to it.",./data/VCTK/raw/wav8/p303/p303_049.wav
492,p303,"Last year, however, was a different story.",./data/VCTK/raw/wav8/p303/p303_277.wav
493,p303,We've had great things in the past.,./data/VCTK/raw/wav8/p303/p303_263.wav
494,p303,It was rather a distorted image of Islam.,./data/VCTK/raw/wav8/p303/p303_288.wav
495,p303,"Everything will fall into place, it should be fine.",./data/VCTK/raw/wav8/p303/p303_317.wav
496,p303,The election is total confusion and chaos.,./data/VCTK/raw/wav8/p303/p303_101.wav
497,p303,I'd like to take the plunge.,./data/VCTK/raw/wav8/p303/p303_115.wav
498,p303,We have great team spirit.,./data/VCTK/raw/wav8/p303/p303_129.wav
499,p303,A lot of people were in tears.,./data/VCTK/raw/wav8/p303/p303_128.wav
500,p303,The cold war is over.,./data/VCTK/raw/wav8/p303/p303_114.wav
501,p303,"Sooner rather than later, though, the healing must begin.",./data/VCTK/raw/wav8/p303/p303_100.wav
502,p303,"Tony Blair, can you see her face?",./data/VCTK/raw/wav8/p303/p303_316.wav
503,p303,That left a bad taste in my mouth.,./data/VCTK/raw/wav8/p303/p303_302.wav
504,p303,Mr Blair was in Washington a week later.,./data/VCTK/raw/wav8/p303/p303_289.wav
505,p303,She may even appear in some more films.,./data/VCTK/raw/wav8/p303/p303_262.wav
506,p303,Drugs and housebreaking are linked.,./data/VCTK/raw/wav8/p303/p303_276.wav
507,p303,"I didn't know the company all that well, or the dancers.",./data/VCTK/raw/wav8/p303/p303_048.wav
508,p303,Gerhard Schroeder was the victor.,./data/VCTK/raw/wav8/p303/p303_060.wav
509,p303,We are now in a safe place.,./data/VCTK/raw/wav8/p303/p303_074.wav
510,p303,Some have accepted it as a miracle without physical explanation.,./data/VCTK/raw/wav8/p303/p303_013.wav
511,p303,The rainbow is a division of white light into many beautiful colors.,./data/VCTK/raw/wav8/p303/p303_007.wav
512,p303,I think in three dimensions.,./data/VCTK/raw/wav8/p303/p303_239.wav
513,p303,"Many, many people don't know who he is.",./data/VCTK/raw/wav8/p303/p303_211.wav
514,p303,I'm going with all three.,./data/VCTK/raw/wav8/p303/p303_205.wav
515,p303,"What, they maybe have three Scottish players?",./data/VCTK/raw/wav8/p303/p303_167.wav
516,p303,We're all family men with children.,./data/VCTK/raw/wav8/p303/p303_173.wav
517,p303,The Government faces a moral dilemma.,./data/VCTK/raw/wav8/p303/p303_198.wav
518,p303,The pressure is on President Bush to deliver.,./data/VCTK/raw/wav8/p303/p303_199.wav
519,p303,Stevenson was arrested on Monday morning.,./data/VCTK/raw/wav8/p303/p303_172.wav
520,p303,Hillary plans to meet him on the summit.,./data/VCTK/raw/wav8/p303/p303_166.wav
521,p303,"Sometimes you get them, sometimes you don't.",./data/VCTK/raw/wav8/p303/p303_204.wav
522,p303,He had taken everything from me.,./data/VCTK/raw/wav8/p303/p303_210.wav
523,p303,"Nothing is lost, everything is recycled.",./data/VCTK/raw/wav8/p303/p303_238.wav
524,p303,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",./data/VCTK/raw/wav8/p303/p303_006.wav
525,p303,Throughout the centuries people have explained the rainbow in various ways.,./data/VCTK/raw/wav8/p303/p303_012.wav
526,p303,It was a crucial moment.,./data/VCTK/raw/wav8/p303/p303_038.wav
527,p303,We also need a small plastic snake and a big toy frog for the kids.,./data/VCTK/raw/wav8/p303/p303_004.wav
528,p303,"People look, but no one ever finds it.",./data/VCTK/raw/wav8/p303/p303_010.wav
529,p303,Most of them were one-year conscripts.,./data/VCTK/raw/wav8/p303/p303_206.wav
530,p303,Suspension will come into force at midnight.,./data/VCTK/raw/wav8/p303/p303_212.wav
531,p303,"She was shouting my baby, my baby.",./data/VCTK/raw/wav8/p303/p303_158.wav
532,p303,"That, in our view, is an important decision.",./data/VCTK/raw/wav8/p303/p303_170.wav
533,p303,Arsenal have plenty in the tank.,./data/VCTK/raw/wav8/p303/p303_164.wav
534,p303,It is quite an eye opener.,./data/VCTK/raw/wav8/p303/p303_165.wav
535,p303,It's just that we see different things.,./data/VCTK/raw/wav8/p303/p303_171.wav
536,p303,The inquiry had been going on for months.,./data/VCTK/raw/wav8/p303/p303_159.wav
537,p303,They should also have the right to vote.,./data/VCTK/raw/wav8/p303/p303_213.wav
538,p303,The line-up is a tasty one.,./data/VCTK/raw/wav8/p303/p303_207.wav
539,p303,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",./data/VCTK/raw/wav8/p303/p303_011.wav
540,p303,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",./data/VCTK/raw/wav8/p303/p303_005.wav
541,p303,We gave everything we had.,./data/VCTK/raw/wav8/p303/p303_039.wav
542,p303,Please call Stella.,./data/VCTK/raw/wav8/p303/p303_001.wav
543,p303,The Greeks used it to imagine that it was a sign from the gods to foretell war or heavy rain.,./data/VCTK/raw/wav8/p303/p303_015.wav
544,p303,I was never going to play against Scotland.,./data/VCTK/raw/wav8/p303/p303_029.wav
545,p303,You can be sure we will have problems.,./data/VCTK/raw/wav8/p303/p303_203.wav
546,p303,They had given up on him.,./data/VCTK/raw/wav8/p303/p303_217.wav
547,p303,"Building an underground, for example, has proved a nightmare.",./data/VCTK/raw/wav8/p303/p303_175.wav
548,p303,It's my delight on a shiny night.,./data/VCTK/raw/wav8/p303/p303_161.wav
549,p303,I expected these kind of questions.,./data/VCTK/raw/wav8/p303/p303_149.wav
550,p303,All kinds of things occur.,./data/VCTK/raw/wav8/p303/p303_148.wav
551,p303,They were both delightful to work with.,./data/VCTK/raw/wav8/p303/p303_160.wav
552,p303,I think we showed that after half time.,./data/VCTK/raw/wav8/p303/p303_174.wav
553,p303,People are so negative about the whole business.,./data/VCTK/raw/wav8/p303/p303_216.wav
554,p303,I am not a happy man.,./data/VCTK/raw/wav8/p303/p303_202.wav
555,p303,That is just a load of baloney.,./data/VCTK/raw/wav8/p303/p303_028.wav
556,p303,To the Hebrews it was a token that there would be no more universal floods.,./data/VCTK/raw/wav8/p303/p303_014.wav
557,p303,The Norsemen considered the rainbow as a bridge over which the gods passed from the earth to their home in the sky.,./data/VCTK/raw/wav8/p303/p303_016.wav
558,p303,Ask her to bring these things with her from the store.,./data/VCTK/raw/wav8/p303/p303_002.wav
559,p303,All the teachers are Afghan refugees.,./data/VCTK/raw/wav8/p303/p303_214.wav
560,p303,"But, because of the wood, no-one had the experience.",./data/VCTK/raw/wav8/p303/p303_200.wav
561,p303,That will bring about a dramatic improvement.,./data/VCTK/raw/wav8/p303/p303_228.wav
562,p303,I can appear to be nice and lovely.,./data/VCTK/raw/wav8/p303/p303_348.wav
563,p303,"I'd go anywhere to work, so long as it's worth it.",./data/VCTK/raw/wav8/p303/p303_162.wav
564,p303,A wide range of restrictions are in place.,./data/VCTK/raw/wav8/p303/p303_176.wav
565,p303,It is simple and easy to use.,./data/VCTK/raw/wav8/p303/p303_189.wav
566,p303,Glasgow then took control.,./data/VCTK/raw/wav8/p303/p303_188.wav
567,p303,There was pressure from elsewhere too.,./data/VCTK/raw/wav8/p303/p303_177.wav
568,p303,It's now down in black and white.,./data/VCTK/raw/wav8/p303/p303_163.wav
569,p303,I don't think the Saudis will lay down.,./data/VCTK/raw/wav8/p303/p303_349.wav
570,p303,"But there has never been the time, she said.",./data/VCTK/raw/wav8/p303/p303_229.wav
571,p303,It was a very difficult decision for us.,./data/VCTK/raw/wav8/p303/p303_201.wav
572,p303,"WHAT's in a name in this, the age of the Internet?",./data/VCTK/raw/wav8/p303/p303_215.wav
573,p303,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.",./data/VCTK/raw/wav8/p303/p303_003.wav
574,p303,Others have tried to explain the phenomenon physically.,./data/VCTK/raw/wav8/p303/p303_017.wav
575,p303,The feeling is marvellous.,./data/VCTK/raw/wav8/p303/p303_032.wav
576,p303,There will be widespread support on all sides.,./data/VCTK/raw/wav8/p303/p303_026.wav
577,p303,We didn't know if people would turn up.,./data/VCTK/raw/wav8/p303/p303_218.wav
578,p303,"This could be one such case, he declared.",./data/VCTK/raw/wav8/p303/p303_230.wav
579,p303,I was living with my mum.,./data/VCTK/raw/wav8/p303/p303_224.wav
580,p303,"Obviously, someone is not doing their job properly.",./data/VCTK/raw/wav8/p303/p303_344.wav
581,p303,People tended to stay there for some time.,./data/VCTK/raw/wav8/p303/p303_350.wav
582,p303,"What was going through her mind that day, that night?",./data/VCTK/raw/wav8/p303/p303_146.wav
583,p303,"Who would take it now, after all this?",./data/VCTK/raw/wav8/p303/p303_152.wav
584,p303,The guys have really enjoyed it.,./data/VCTK/raw/wav8/p303/p303_185.wav
585,p303,The rear of the plane was on fire.,./data/VCTK/raw/wav8/p303/p303_191.wav
586,p303,"English rugby is on the brink of extinction, though, it's official.",./data/VCTK/raw/wav8/p303/p303_190.wav
587,p303,"Lifeboat is at the Tron Theatre, Glasgow, tonight.",./data/VCTK/raw/wav8/p303/p303_184.wav
588,p303,I felt really good until Friday.,./data/VCTK/raw/wav8/p303/p303_153.wav
589,p303,I always knew she was funny.,./data/VCTK/raw/wav8/p303/p303_147.wav
590,p303,An internal inquiry was launched into the procedures.,./data/VCTK/raw/wav8/p303/p303_351.wav
591,p303,"And we know that, because we know the hairdresser.",./data/VCTK/raw/wav8/p303/p303_345.wav
592,p303,It did my image a lot of good!,./data/VCTK/raw/wav8/p303/p303_225.wav
593,p303,I fell in love with ballet.,./data/VCTK/raw/wav8/p303/p303_231.wav
594,p303,It has made me feel good.,./data/VCTK/raw/wav8/p303/p303_219.wav
595,p303,This was the classical period of Beethoven.,./data/VCTK/raw/wav8/p303/p303_027.wav
596,p303,I think they should have more respect.,./data/VCTK/raw/wav8/p303/p303_033.wav
597,p303,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",./data/VCTK/raw/wav8/p303/p303_019.wav
598,p303,It is bad news for the flooded areas.,./data/VCTK/raw/wav8/p303/p303_025.wav
599,p303,"For the Scottish judges, the affair is very delicate and unique.",./data/VCTK/raw/wav8/p303/p303_031.wav
600,p303,"It's been a long, long journey.",./data/VCTK/raw/wav8/p303/p303_227.wav
601,p303,"Mr King, who was present at yesterday's hearing, refused to comment.",./data/VCTK/raw/wav8/p303/p303_233.wav
602,p303,This represents a tough game for us.,./data/VCTK/raw/wav8/p303/p303_353.wav
603,p303,"On this showing, they should stick with the lads.",./data/VCTK/raw/wav8/p303/p303_347.wav
604,p303,One person was believed to have been hit.,./data/VCTK/raw/wav8/p303/p303_179.wav
605,p303,"It is always the same, isn't it?",./data/VCTK/raw/wav8/p303/p303_151.wav
606,p303,"But, clearly, it is crucial to understand that point.",./data/VCTK/raw/wav8/p303/p303_145.wav
607,p303,I think we finished fifth.,./data/VCTK/raw/wav8/p303/p303_192.wav
608,p303,Charles Clarke is an idiot.,./data/VCTK/raw/wav8/p303/p303_186.wav
609,p303,Our people should be immune.,./data/VCTK/raw/wav8/p303/p303_187.wav
610,p303,It was not a foul.,./data/VCTK/raw/wav8/p303/p303_193.wav
611,p303,"That end is enjoying life, as far as David is concerned.",./data/VCTK/raw/wav8/p303/p303_144.wav
612,p303,It was fit for royalty.,./data/VCTK/raw/wav8/p303/p303_150.wav
613,p303,You let a lot of people down.,./data/VCTK/raw/wav8/p303/p303_178.wav
614,p303,I can't blame the fans for getting frustrated.,./data/VCTK/raw/wav8/p303/p303_346.wav
615,p303,My preference is for the single vaccines.,./data/VCTK/raw/wav8/p303/p303_352.wav
616,p303,The merger was welcomed by Tony Blair.,./data/VCTK/raw/wav8/p303/p303_232.wav
617,p303,This Government believes in parental discipline.,./data/VCTK/raw/wav8/p303/p303_226.wav
618,p303,Any error of judgment was ruled out.,./data/VCTK/raw/wav8/p303/p303_030.wav
619,p303,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",./data/VCTK/raw/wav8/p303/p303_024.wav
620,p303,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,./data/VCTK/raw/wav8/p303/p303_018.wav
621,p303,Many complicated ideas about the rainbow have been formed.,./data/VCTK/raw/wav8/p303/p303_020.wav
622,p303,The crackdown is launched today by the government.,./data/VCTK/raw/wav8/p303/p303_034.wav
623,p303,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",./data/VCTK/raw/wav8/p303/p303_008.wav
624,p303,She has now been registered as disabled.,./data/VCTK/raw/wav8/p303/p303_222.wav
625,p303,We're still talking with a few people.,./data/VCTK/raw/wav8/p303/p303_236.wav
626,p303,I get to work with very good people.,./data/VCTK/raw/wav8/p303/p303_342.wav
627,p303,That gives us something to kick against.,./data/VCTK/raw/wav8/p303/p303_154.wav
628,p303,I played really well on the back nine.,./data/VCTK/raw/wav8/p303/p303_140.wav
629,p303,Can they be serious?,./data/VCTK/raw/wav8/p303/p303_168.wav
630,p303,"They were very, very anxious and nervous about their personal safety.",./data/VCTK/raw/wav8/p303/p303_197.wav
631,p303,Two men have been charged with his murder.,./data/VCTK/raw/wav8/p303/p303_183.wav
632,p303,They just would not have run away.,./data/VCTK/raw/wav8/p303/p303_182.wav
633,p303,I don't know exactly what happened.,./data/VCTK/raw/wav8/p303/p303_196.wav
634,p303,"For athletes in our current climate, their sport is their livelihood.",./data/VCTK/raw/wav8/p303/p303_169.wav
635,p303,It's a bit like a bereavement.,./data/VCTK/raw/wav8/p303/p303_141.wav
636,p303,"Except, this time, it seems, he really, really means it.",./data/VCTK/raw/wav8/p303/p303_155.wav
637,p303,A quality audit officer has also been appointed.,./data/VCTK/raw/wav8/p303/p303_343.wav
638,p303,But one shouldn't go by that.,./data/VCTK/raw/wav8/p303/p303_237.wav
639,p303,"Now, however, it has undergone a dramatic decline.",./data/VCTK/raw/wav8/p303/p303_223.wav
640,p303,"There is , according to legend, a boiling pot of gold at one end.",./data/VCTK/raw/wav8/p303/p303_009.wav
641,p303,They are interior designers and architects.,./data/VCTK/raw/wav8/p303/p303_035.wav
642,p303,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",./data/VCTK/raw/wav8/p303/p303_021.wav
643,p303,Others may be trying to catch up.,./data/VCTK/raw/wav8/p303/p303_037.wav
644,p303,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",./data/VCTK/raw/wav8/p303/p303_023.wav
645,p303,"I spoke with just one player, but not the others.",./data/VCTK/raw/wav8/p303/p303_235.wav
646,p303,We have our supporters and our enemies.,./data/VCTK/raw/wav8/p303/p303_221.wav
647,p303,"He wins the match with a passionate, committed, almost demented, display.",./data/VCTK/raw/wav8/p303/p303_209.wav
648,p303,Dancing will help his ankles and his feet.,./data/VCTK/raw/wav8/p303/p303_341.wav
649,p303,"Over the last four years, we have been fairly consistent.",./data/VCTK/raw/wav8/p303/p303_143.wav
650,p303,There is precious little middle ground.,./data/VCTK/raw/wav8/p303/p303_157.wav
651,p303,Mistakes are being made on an increasing basis.,./data/VCTK/raw/wav8/p303/p303_180.wav
652,p303,We know them as mobile telephones.,./data/VCTK/raw/wav8/p303/p303_194.wav
653,p303,"Meanwhile, the action is spreading to Eastern Europe.",./data/VCTK/raw/wav8/p303/p303_195.wav
654,p303,We aren't going to play better.,./data/VCTK/raw/wav8/p303/p303_181.wav
655,p303,Equity declined to comment.,./data/VCTK/raw/wav8/p303/p303_156.wav
656,p303,"It was tough, but we did have a lot of possession.",./data/VCTK/raw/wav8/p303/p303_142.wav
657,p303,"However, they continued in their pursuit of victory.",./data/VCTK/raw/wav8/p303/p303_340.wav
658,p303,I don't honestly know how to describe it.,./data/VCTK/raw/wav8/p303/p303_208.wav
659,p303,"You know, he was struggling with his game all week.",./data/VCTK/raw/wav8/p303/p303_220.wav
660,p303,"Charlie Gordon, leader of the council, dismissed the suggestion.",./data/VCTK/raw/wav8/p303/p303_234.wav
661,p303,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.,./data/VCTK/raw/wav8/p303/p303_022.wav
662,p303,Nor does it have a stock of medicines.,./data/VCTK/raw/wav8/p303/p303_036.wav
663,p303,She had travelled to Spain to give evidence.,./data/VCTK/raw/wav8/p303/p303_079.wav
664,p303,This guy is never going to give up.,./data/VCTK/raw/wav8/p303/p303_051.wav
665,p303,"Our dispute is with the company, not the travelling public.",./data/VCTK/raw/wav8/p303/p303_045.wav
666,p303,These things are important for clubs like ourselves.,./data/VCTK/raw/wav8/p303/p303_092.wav
667,p303,"In spite of recent advances, the language is still under threat.",./data/VCTK/raw/wav8/p303/p303_086.wav
668,p303,Both will be heard at Glasgow Sheriff Court.,./data/VCTK/raw/wav8/p303/p303_253.wav
669,p303,We're into that build-up now.,./data/VCTK/raw/wav8/p303/p303_247.wav
670,p303,"If Glasgow is so interested, they have the right to bid.",./data/VCTK/raw/wav8/p303/p303_290.wav
671,p303,Alcohol and nicotine are now no-go areas.,./data/VCTK/raw/wav8/p303/p303_284.wav
672,p303,They will want to watch a winning team.,./data/VCTK/raw/wav8/p303/p303_327.wav
673,p303,"In her opinion, the rich are different.",./data/VCTK/raw/wav8/p303/p303_333.wav
674,p303,"Council officials are involved, along with the transport industry.",./data/VCTK/raw/wav8/p303/p303_119.wav
675,p303,I asked why he had come.,./data/VCTK/raw/wav8/p303/p303_125.wav
676,p303,He loves the big occasions.,./data/VCTK/raw/wav8/p303/p303_131.wav
677,p303,Above all the aggression must be stopped.,./data/VCTK/raw/wav8/p303/p303_130.wav
678,p303,"John Reid, the Scottish secretary, also welcomed the news.",./data/VCTK/raw/wav8/p303/p303_124.wav
679,p303,We are losing this war.,./data/VCTK/raw/wav8/p303/p303_118.wav
680,p303,I have a theory.,./data/VCTK/raw/wav8/p303/p303_332.wav
681,p303,What is the truth about the cow?,./data/VCTK/raw/wav8/p303/p303_326.wav
682,p303,They are so easy for youngsters to open.,./data/VCTK/raw/wav8/p303/p303_285.wav
683,p303,The pollution and the driving are beyond belief.,./data/VCTK/raw/wav8/p303/p303_291.wav
684,p303,There are just two tournaments remaining.,./data/VCTK/raw/wav8/p303/p303_246.wav
685,p303,"Sub Not Used, McKenzie.",./data/VCTK/raw/wav8/p303/p303_252.wav
686,p303,There were no passengers on board.,./data/VCTK/raw/wav8/p303/p303_087.wav
687,p303,He didn't have time for any other hobbies.,./data/VCTK/raw/wav8/p303/p303_093.wav
688,p303,I will not be in dialogue with her.,./data/VCTK/raw/wav8/p303/p303_044.wav
689,p303,I saw them not long after it happened.,./data/VCTK/raw/wav8/p303/p303_050.wav
690,p303,We just try to make great records.,./data/VCTK/raw/wav8/p303/p303_078.wav
691,p303,I did not want any damage to us.,./data/VCTK/raw/wav8/p303/p303_046.wav
692,p303,Who said impatience is a virtue?,./data/VCTK/raw/wav8/p303/p303_052.wav
693,p303,We really need research to help with that.,./data/VCTK/raw/wav8/p303/p303_085.wav
694,p303,There were unconfirmed reports that it was cannabis.,./data/VCTK/raw/wav8/p303/p303_091.wav
695,p303,He is a close friend of Gordon Brown.,./data/VCTK/raw/wav8/p303/p303_278.wav
696,p303,All were later allowed home.,./data/VCTK/raw/wav8/p303/p303_244.wav
697,p303,But first it goes out on TV.,./data/VCTK/raw/wav8/p303/p303_250.wav
698,p303,There is no smoking gun.,./data/VCTK/raw/wav8/p303/p303_287.wav
699,p303,I felt under no pressure today.,./data/VCTK/raw/wav8/p303/p303_293.wav
700,p303,We have grown up in Britain.,./data/VCTK/raw/wav8/p303/p303_318.wav
701,p303,"The Government, however, insists the company is not for sale.",./data/VCTK/raw/wav8/p303/p303_330.wav
702,p303,I'll go out and be aggressive.,./data/VCTK/raw/wav8/p303/p303_324.wav
703,p303,They should take their mobile phones.,./data/VCTK/raw/wav8/p303/p303_132.wav
704,p303,Will they ever reopen?,./data/VCTK/raw/wav8/p303/p303_126.wav
705,p303,"After that date, the numbers should stabilise or fall.",./data/VCTK/raw/wav8/p303/p303_127.wav
706,p303,He loved his job and working in newspapers.,./data/VCTK/raw/wav8/p303/p303_133.wav
707,p303,"I wanted, really, to deal with two opposite energies.",./data/VCTK/raw/wav8/p303/p303_325.wav
708,p303,Just see where the blood is coming from.,./data/VCTK/raw/wav8/p303/p303_331.wav
709,p303,They had previously been on five-day notice.,./data/VCTK/raw/wav8/p303/p303_319.wav
710,p303,I have been coming here for nine years.,./data/VCTK/raw/wav8/p303/p303_292.wav
711,p303,We have been treated with complete contempt.,./data/VCTK/raw/wav8/p303/p303_286.wav
712,p303,We're trying to lessen the stigma.,./data/VCTK/raw/wav8/p303/p303_251.wav
713,p303,She has a wonderful mind.,./data/VCTK/raw/wav8/p303/p303_245.wav
714,p303,I bought a car at auction.,./data/VCTK/raw/wav8/p303/p303_279.wav
715,p303,Saddam Hussein has made the case against himself.,./data/VCTK/raw/wav8/p303/p303_090.wav
716,p303,Audacious decisions were taken early on.,./data/VCTK/raw/wav8/p303/p303_084.wav
717,p303,"Jim Wallace, justice minister, has refused to hold an inquiry.",./data/VCTK/raw/wav8/p303/p303_053.wav
718,p303,It was an easy decision to come here.,./data/VCTK/raw/wav8/p303/p303_047.wav
719,p303,This is purely financial.,./data/VCTK/raw/wav8/p303/p303_043.wav
720,p303,It was more like a Labour Party rally.,./data/VCTK/raw/wav8/p303/p303_057.wav
721,p303,I was unconscious for two or three seconds.,./data/VCTK/raw/wav8/p303/p303_080.wav
722,p303,Scotland were beaten again.,./data/VCTK/raw/wav8/p303/p303_094.wav
723,p303,Thames Valley police decided not to prosecute.,./data/VCTK/raw/wav8/p303/p303_241.wav
724,p303,We have reacted well to each other.,./data/VCTK/raw/wav8/p303/p303_255.wav
725,p303,After that nothing could save him.,./data/VCTK/raw/wav8/p303/p303_269.wav
726,p303,She had been sexually assaulted.,./data/VCTK/raw/wav8/p303/p303_282.wav
